,quintile_1,quintile_2,quintile_3,quintile_4,quintile_5
1978-12-31,0.04186666666666666,0.04186666666666666,0.006133333333333334,0.010533333333333334,0.05893333333333332
1979-01-31,0.0019999999999999996,0.010566666666666663,0.0036666666666666666,0.006866666666666666,0.0019999999999999996
1979-02-28,-0.010566666666666669,0.0009333333333333334,0.0009333333333333334,0.019833333333333335,0.020300000000000002
1979-03-31,0.0030333333333333336,0.005933333333333333,0.009733333333333333,0.0095,-0.0009333333333333332
1979-04-30,-1.666666666666642e-05,0.00155,0.0021499999999999987,0.0018166666666666672,-0.0052166666666666655
1979-05-31,0.013316666666666664,-0.004750000000000001,0.005483333333333332,0.013316666666666664,0.0007499999999999993
1979-06-30,0.0063,0.0035333333333333328,0.009866666666666668,-0.002166666666666667,-0.0011333333333333338
1979-07-31,0.005233333333333332,-0.0092,-0.014199999999999999,0.009266666666666666,0.014533333333333334
1979-08-31,0.004816666666666668,0.010383333333333333,0.007616666666666667,0.00905,-0.009983333333333332
1979-09-30,-0.02033333333333333,0.009866666666666668,0.0183,0.009866666666666668,-0.023933333333333334
1979-10-31,-0.008833333333333332,0.017933333333333332,0.0004999999999999982,0.0003999999999999976,-0.008933333333333333
1979-11-30,0.013833333333333331,-0.007833333333333333,0.022066666666666665,0.0116,0.0116
1979-12-31,-0.023749999999999993,-0.023749999999999993,-0.05435,0.01891666666666667,-0.04858333333333333
1980-01-31,0.0009666666666666643,0.006099999999999999,0.012666666666666666,0.016766666666666666,-0.013633333333333332
1980-02-29,-0.04618333333333333,-0.049383333333333335,-0.010750000000000001,-0.01248333333333333,-0.017450000000000004
1980-03-31,-0.010433333333333331,0.0016333333333333339,0.013466666666666667,0.0002666666666666678,0.007799999999999999
1980-04-30,0.007733333333333334,0.009,0.011266666666666666,-0.004600000000000001,0.010433333333333331
1980-05-31,0.0023999999999999994,0.007666666666666666,0.010333333333333333,-0.0002333333333333331,0.0017333333333333322
1980-06-30,-0.00375,0.02535,-0.00375,0.00905,0.008816666666666665
1980-07-31,0.013166666666666669,0.00876666666666667,0.021366666666666662,0.023799999999999998,-0.0038666666666666654
1980-08-31,0.004466666666666665,0.023033333333333333,0.01983333333333333,0.01983333333333333,-0.013633333333333332
1980-09-30,0.027516666666666672,0.012983333333333333,0.027516666666666672,0.027516666666666672,0.003616666666666666
1980-10-31,0.06561666666666666,0.015216666666666663,0.06561666666666666,0.03858333333333333,-0.04451666666666667
1980-11-30,-0.027983333333333332,0.00045000000000000134,-0.027983333333333332,-0.014416666666666666,0.007949999999999999
1980-12-31,-0.028683333333333328,-0.025716666666666665,-0.03994999999999999,-0.03994999999999999,0.02281666666666667
1981-01-31,-6.666666666666713e-05,-0.0047666666666666664,-0.006933333333333333,0.0031666666666666666,0.0011333333333333328
1981-02-28,-0.0036833333333333336,0.01405,0.00835,0.00835,-0.0036833333333333336
1981-03-31,0.00505,0.010183333333333334,-0.0025499999999999997,0.0025833333333333337,0.013783333333333335
1981-04-30,0.014549999999999999,0.00675,-0.0062499999999999995,0.014549999999999999,0.005183333333333334
1981-05-31,0.0002999999999999993,-0.0301,-0.004000000000000001,0.022699999999999998,-0.016833333333333336
1981-06-30,-0.0026499999999999996,-0.0026499999999999996,-0.0018833333333333334,-0.013550000000000001,-0.011983333333333332
1981-07-31,-0.002233333333333334,-0.027233333333333335,-0.005900000000000002,-0.006933333333333334,0.017499999999999998
1981-08-31,0.0003166666666666671,-0.025149999999999995,0.0003166666666666671,-0.006783333333333333,0.024050000000000005
1981-09-30,0.005016666666666668,0.02575,0.02575,-0.0006500000000000013,-0.011050000000000003
1981-10-31,-0.001933333333333333,0.007300000000000001,-0.009933333333333334,-0.013266666666666668,0.008
1981-11-30,-0.004366666666666667,0.0159,0.0011666666666666674,0.009333333333333334,-0.0004666666666666667
1981-12-31,-0.02500000000000001,0.054400000000000004,-0.02500000000000001,0.033499999999999995,0.08443333333333332
1982-01-31,0.010866666666666665,0.022699999999999998,-0.024666666666666667,0.022699999999999998,0.010866666666666665
1982-02-28,0.014183333333333333,-0.010516666666666667,0.02025,0.009916666666666666,-0.012283333333333334
1982-03-31,0.003933333333333334,0.003933333333333334,-0.006866666666666668,0.003933333333333334,0.009200000000000002
1982-04-30,0.015783333333333333,-0.002850000000000002,-0.0005166666666666676,-0.0005166666666666676,-0.011216666666666666
1982-05-31,0.008833333333333334,0.0007000000000000004,0.008833333333333334,-0.004500000000000001,-0.007466666666666667
1982-06-30,0.018533333333333332,0.0152,0.007866666666666666,0.0028333333333333335,-0.006800000000000001
1982-07-31,-0.033,0.004166666666666667,0.004166666666666667,0.0005333333333333324,0.011966666666666667
1982-08-31,0.0101,0.0129,0.009333333333333334,0.016533333333333334,0.0034999999999999983
1982-09-30,0.016816666666666667,-0.02231666666666667,0.028883333333333334,0.027883333333333333,0.015149999999999999
1982-10-31,0.020766666666666666,0.004433333333333331,0.020766666666666666,0.020766666666666666,0.020766666666666666
1982-11-30,0.0022333333333333333,0.0022333333333333333,0.0022333333333333333,0.0022333333333333333,0.0022333333333333333
1982-12-31,0.006150000000000003,0.0028166666666666657,0.004283333333333335,0.008550000000000002,-0.002616666666666667
1983-01-31,0.014083333333333335,0.006349999999999999,0.011883333333333334,0.01525,0.008816666666666667
1983-02-28,0.01685,-0.009349999999999999,1.6666666666668013e-05,0.016216666666666667,0.004549999999999999
1983-03-31,0.01763333333333333,-0.009733333333333335,0.011166666666666665,0.017866666666666666,-0.009966666666666667
1983-04-30,0.007000000000000003,0.010466666666666666,0.0104,0.0009666666666666678,0.0053
