date,regime_0,regime_1,regime_2,regime_code
1973-12-31,0.999999986713192,1.3286670933972165e-08,1.7852359809432513e-176,0
1974-01-31,0.0012755825676226346,0.9987244174322609,9.920792046578715e-15,1
1974-02-28,0.9887160558409616,0.01128394371473338,4.4413513347620083e-10,0
1974-03-31,0.01151698999804726,0.9884830099806631,2.148141937441953e-11,1
1974-04-30,0.9793170444951945,0.020682955370590315,1.3413500712632328e-10,0
1974-05-31,0.020239792080311885,0.9797602078329484,8.686857324385016e-11,1
1974-06-30,0.971206230607189,0.028793763393848287,5.998887373156006e-09,0
1974-07-31,0.02660629352133821,0.9733937064540884,2.4693254238039453e-11,1
1974-08-31,0.9655096767447797,0.03449032322019086,3.4902460570211593e-11,0
1974-09-30,0.03123002938172027,0.9687699706182991,2.7683495119545695e-15,1
1974-10-31,0.9596197043497774,0.04038029563918872,1.1043697335499616e-11,0
1974-11-30,0.03733149656947947,0.9626684245625171,7.886807720879218e-08,1
1974-12-31,0.956818405699416,0.043181545357644895,4.894311403387273e-08,0
1975-01-31,0.03985182650763423,0.9601474308984931,7.425938667542339e-07,1
1975-02-28,0.9531377278020569,0.046861233459847475,1.0387380809151994e-06,0
1975-03-31,0.042789594085509516,0.9572102742832976,1.316311193990024e-07,1
1975-04-30,0.951996123988799,0.04799570036919757,8.175642043991485e-06,0
1975-05-31,0.04159426720228452,0.9557859603298829,0.002619772467744312,1
1975-06-30,0.007357422915269358,0.04684174260196792,0.9458008344827379,2
1975-07-31,3.8282520177997095e-05,0.0073790309676027704,0.9925826865122823,2
1975-08-31,5.5379285868161004e-05,4.2666658779367525e-05,0.9999019540552145,2
1975-09-30,0.00037842229645273254,5.808446501285037e-05,0.9995634932383382,2
1975-10-31,0.00010737762189526762,0.0003876475153639979,0.999504974862771,2
1975-11-30,5.6631571772246656e-06,0.00010851170200805464,0.999885825140706,2
1975-12-31,1.2511542652584592e-06,6.042474145873872e-06,0.9999927063715818,2
1976-01-31,3.8291964363978603e-07,1.3985040484863433e-06,0.9999982185761334,2
1976-02-29,3.931980849088491e-07,4.813613724007099e-07,0.9999991254407364,2
1976-03-31,2.093652353786233e-06,5.451511731910511e-07,0.9999973611964634,2
1976-04-30,1.2147433994073132e-05,2.817398744542396e-06,0.9999850351674622,2
1976-05-31,2.917593032627961e-05,1.3055457986902769e-05,0.9999577686117043,2
1976-06-30,4.0356479892536094e-05,3.069072887611999e-05,0.9999289527910488,2
1976-07-31,2.7446463254433838e-05,4.159736555798349e-05,0.9999309561711327,2
1976-08-31,2.586225638661015e-06,2.8632002023826703e-05,0.9999687817724324,2
1976-09-30,1.2349767793172299e-07,2.695571369107536e-06,0.9999971809310128,2
1976-10-31,1.0108937425482399e-07,1.7986951569153432e-07,0.99999971904121,2
1976-11-30,9.127719192277078e-08,1.7797366581185676e-07,0.999999730749132,2
1976-12-31,1.6297103797023e-06,1.4043703434883103e-07,0.9999982298524834,2
1977-01-31,0.0001622783343140341,3.7757079854517517e-06,0.9998339459576663,2
1977-02-28,0.00033666547228233763,0.00016616780365171735,0.9994971667238955,2
1977-03-31,0.00011638437245513402,0.00034236961417188775,0.9995412460133394,2
1977-04-30,3.7178249208354604e-05,0.00011874110701581646,0.9998440806438503,2
1977-05-31,2.841851194196343e-05,3.872397237686093e-05,0.9999328575158619,2
1977-06-30,4.22387478292812e-05,2.9629130432678432e-05,0.9999281321216771,2
1977-07-31,0.00016438129375194932,4.431020000391364e-05,0.9997913085061315,2
1977-08-31,0.0006802024716074851,0.00016953433573837123,0.9991502631925427,2
1977-09-30,0.003632147887218187,0.0006999249086278678,0.9956679272042216,2
1977-10-31,0.00891024535179862,0.0036877238792903957,0.9874020307690666,2
1977-11-30,0.005898249566912143,0.008975025756920189,0.9851267246759543,2
1977-12-31,0.0012740540751588862,0.006105215875837973,0.9926207300489879,2
1978-01-31,0.00012114949711803153,0.0012959232385001828,0.9985829272645933,2
1978-02-28,2.075324141875751e-05,0.00012655668644201014,0.9998526900721945,2
1978-03-31,1.6409373886577557e-06,2.1334957721717774e-05,0.9999770241049337,2
1978-04-30,5.405661741136407e-07,1.7686190944224294e-06,0.9999976908147178,2
1978-05-31,1.3683353376519802e-06,6.744658751331135e-07,0.9999979571987698,2
1978-06-30,1.8685704332516844e-06,1.6952446321112838e-06,0.9999964361850128,2
1978-07-31,1.6794324198922068e-06,2.0325148298611567e-06,0.9999962880529664,2
1978-08-31,3.538115636133104e-06,1.990826713250236e-06,0.9999944710578399,2
1978-09-30,4.58250070066815e-05,3.948421159050825e-06,0.9999502265718612,2
1978-10-31,0.0007383549846024203,5.1130568961316795e-05,0.9992105144463933,2
1978-11-30,0.009806530909249928,0.0007674301016912926,0.9894260389890381,2
1978-12-31,0.06305001974418253,0.010197665080417029,0.9267523151752933,2
1979-01-31,0.5944660342737959,0.06483949363352935,0.34069447209265163,0
1979-02-28,0.4000544004155132,0.5984258880806705,0.001519711503843446,1
1979-03-31,0.5909214371117005,0.4090778629703985,6.999176980307685e-07,0
1979-04-30,0.39230501102990745,0.6076947305248902,2.58445289694753e-07,1
1979-05-31,0.5997516253193941,0.40024815939592745,2.1528468555940854e-07,0
1979-06-30,0.3822777485569723,0.617721344786995,9.066559586237791e-07,1
1979-07-31,0.6093757355441117,0.3906238677133202,3.9674267515431067e-07,0
1979-08-31,0.3732375678690694,0.626760712360346,1.7197707544031856e-06,1
1979-09-30,0.6192338905704421,0.380765534761563,5.746681465210657e-07,0
1979-10-31,0.3639102810953437,0.6360884017713129,1.3171335283967802e-06,1
